ID,Confidence,Confidence rt,Trial,Trial response,Trial rt
D11,10,1.5140131,T1,"['space', 'right', 'left', 'right', 'left', 'left', 'right', 'left', 'left', 'space', 'right', 'right', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'right']","[3.309596300001431, 8.372509800003172, 14.285873300003004, 20.31615800000145, 26.15192040000329, 32.419709200003126, 38.206078200000775, 44.14114140000311, 50.159835000002204, 56.53784950000045, 62.17818470000202, 68.46057940000173, 74.36665740000171, 80.23407090000183, 86.80537630000254, 92.64257750000252, 98.18001910000021, 104.20142490000217, 110.33432979999998, 116.20989660000123]"
D11,10,1.3445285,T2,"['right', 'left', 'right', 'left', 'right', 'space', 'right', 'right', 'space', 'right', 'left', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'right', 'left']","[3.730746099998214, 9.214248599997518, 14.19760479999968, 20.17383609999888, 26.201641100000415, 33.40428459999748, 38.37656969999807, 44.22358499999973, 50.33631519999835, 56.7291931999971, 62.413047399997595, 69.01626919999762, 74.44682819999798, 80.5480893999993, 87.04933179999716, 92.84265629999936, 98.35792779999974, 104.4772054999994, 111.33162009999796, 116.32310979999966]"
D11,10,3.4949061,T3,"['space', 'right', 'right', 'left', 'right', 'right', 'left', 'space', 'space', 'left', 'right', 'space', 'left', 'space', 'right', 'left', 'left', 'right', 'right']","[9.121355799998128, 14.7184285000003, 20.324476000001596, 26.200265799998306, 32.52568260000044, 38.56137519999902, 44.17967560000034, 52.21057260000089, 57.85529029999816, 62.133002899998246, 68.14443319999918, 75.49905709999803, 81.28056220000144, 86.25340119999964, 92.34021180000127, 98.21319779999976, 104.41308679999929, 110.14831520000007, 116.6625826999989]"
D11,None,None,T4,"['space', 'space', 'space', 'left', 'right', 'space', 'right', 'space', 'left', 'left', 'left', 'space', 'left', 'right', 'right', 'space', 'left', 'right', 'left', 'right']","[3.3430193000021973, 9.251103000002331, 15.03936690000046, 20.65729360000114, 26.17409410000255, 33.477766100000736, 38.656036100001074, 45.179364700001315, 50.18613230000119, 56.52436480000324, 62.31543000000238, 69.7451370000017, 74.53724350000266, 80.55982110000332, 86.11655320000136, 93.39547470000252, 98.1759809000032, 104.12876260000121, 110.64510000000155, 116.1787839000026]"
D11,10,11.6417995,T5,"['right', 'space', 'left', 'right', 'right', 'left', 'right', 'right', 'right', 'left', 'right', 'space', 'space', 'left', 'left', 'space', 'right', 'space', 'right', 'left']","[3.9247161999992386, 8.907756900000095, 14.581525699999474, 20.34416760000022, 26.172729599999002, 32.12834289999955, 38.40699130000212, 44.28863099999944, 50.835403699999006, 57.35430110000016, 62.242318200002046, 69.06939179999972, 75.10535660000096, 80.12124810000023, 86.61985900000218, 92.29470290000245, 98.1377594000005, 105.06450530000075, 110.15499590000036, 116.52813149999929]"
D11,None,None,T6,"['right', 'left', 'space', 'left', 'right', 'space', 'space', 'right', 'right', 'right', 'left', 'left', 'left', 'right', 'left', 'left', 'space', 'left', 'right', 'left']","[3.1036538000007567, 8.347569800000201, 15.207546800000273, 20.63343209999948, 26.671616100000392, 33.18510629999946, 38.991145699998015, 44.15501790000053, 50.39068889999908, 56.127881599997636, 62.5295729999998, 68.58372999999847, 74.4430532999977, 80.85391979999986, 87.16290899999876, 92.60164219999933, 99.60727209999823, 104.15566969999782, 110.65884649999862, 116.12211359999856]"
D11,10,1.2254063,T7,"['space', 'space', 'left', 'right', 'space', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'left', 'right', 'right', 'left', 'space', 'space', 'left', 'right']","[3.285664099999849, 9.368957400001818, 15.07797600000049, 20.22654369999873, 28.1240930999993, 32.44000120000055, 38.293978000001516, 39.90497189999951, 44.531976599999325, 50.117955199999415, 56.13548280000032, 62.340450700001384, 68.4418740000001, 74.49852209999881, 80.67868939999971, 87.19053640000129, 92.15825970000151, 99.22740479999993, 105.05338560000018, 110.16218750000189, 116.63703390000228]"
D11,10,13.3375532,T8,"['right', 'right', 'left', 'left', 'right', 'left', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'right', 'left', 'left', 'left', 'left', 'space', 'right', 'left', 'left']","[3.756954799999221, 8.513203899998189, 14.861438799998723, 20.3704859999998, 26.125114700000267, 33.07882260000042, 38.64270729999771, 44.21130559999801, 50.31217289999768, 56.539747399998305, 62.6608505999975, 68.54985859999942, 74.18219809999937, 80.48807680000027, 85.89668199999869, 87.68468559999747, 92.14351449999958, 93.89905229999931, 99.20991729999878, 104.9497186999979, 111.33225730000049, 117.07295789999989]"
D11,10,12.5247377,T9,"['right', 'right', 'right', 'right', 'left', 'right', 'left', 'space', 'right', 'right', 'right', 'left', 'right', 'left', 'left', 'space', 'right', 'space', 'right', 'left']","[3.1789805999978853, 8.772159699998156, 15.619488699998328, 21.536415200000192, 26.172050899996975, 32.240635099999054, 38.137234899997566, 44.869906099997024, 49.64463649999743, 56.56153769999946, 62.0602590999988, 68.16407719999916, 75.07169570000042, 80.24243139999817, 87.20325339999908, 93.43968309999764, 98.19146019999971, 105.04763829999865, 110.15795409999919, 117.12228959999993]"
D11,10,10.6998556,T10,"['space', 'right', 'right', 'left', 'left', 'right', 'space', 'left', 'left', 'right', 'left', 'right', 'space', 'right', 'right', 'space', 'left', 'left', 'left', 'left']","[4.0267050999973435, 9.565523099998245, 14.179092799997306, 20.535315199998877, 26.91996350000045, 32.8435129999998, 39.45696189999944, 44.52968559999863, 50.15949749999709, 56.617868599998474, 62.56551539999782, 69.15928699999859, 75.36440509999738, 81.16762739999831, 86.69369699999879, 93.25790419999976, 99.65208589999747, 104.60931770000025, 110.118150899998, 116.52938329999961]"
