ID,Confidence ,Confidence rt,Trial,Trial response ,Trial rt
D04,8,4.1826049,T1,"['right', 'space', 'left', 'right', 'left', 'right', 'space', 'right', 'right', 'left', 'left', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'left', 'left', 'right', 'right', 'left', 'left']","[2.171745200001169, 6.380269399989629, 9.693657600000734, 14.566848599992227, 18.54938339997898, 25.08324760000687, 29.17708809999749, 31.109815999981947, 33.61695579998195, 36.732174799981294, 38.58600829998613, 42.68693090000306, 46.820907399989665, 49.33192699999199, 50.00363799999468, 54.21562139998423, 55.905820499989204, 60.39977379998891, 62.023402999999234, 67.91080469998997, 68.2287590999913, 74.59871669998392, 79.4813792000059, 80.05520859998069, 84.86250990000553, 85.24542930000462, 86.35414049998508, 90.11144149999018, 92.50055319999228, 93.00242380000418, 97.37230089999503, 103.78309499999159, 104.27699300000677, 110.10627920000115, 111.43962140000076, 114.99735979997786, 116.09716939998907]"
D04,8,3.3720545,T2,"['right', 'left', 'right', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'left', 'left', 'right', 'right', 'left', 'left', 'space', 'space', 'space', 'left', 'right', 'right', 'right', 'left', 'right', 'right', 'right', 'left', 'right', 'left', 'right', 'right', 'right']","[4.117277699988335, 5.974072100012563, 8.23834340000758, 8.592505800013896, 13.943589900009101, 19.98466010001721, 21.63967179998872, 24.70173010000144, 27.515093199996045, 31.443071299989242, 32.15544229999068, 36.49322000000393, 38.045936800015625, 38.6964985000086, 43.37936389999231, 44.175752600014675, 48.19763239999884, 48.5749894999899, 50.34884280001279, 57.423770699999295, 60.497864900011336, 63.3685497000115, 68.5933018999931, 74.14120390001335, 80.21775089998846, 85.10220019999542, 86.23838560000877, 92.57494399999268, 98.44434190000175, 104.77841820000322, 110.94173190000583, 116.17112149999593, 117.44219000000157]"
D04,8,1.9186253,T3,"['left', 'right', 'left', 'left', 'left', 'right', 'left', 'left', 'right', 'right', 'right', 'space', 'right', 'right', 'left', 'left', 'right', 'right', 'right', 'right', 'left', 'right', 'right', 'left', 'space', 'space']","[2.1133853000064846, 8.375112400011858, 14.000055000011344, 19.06079459999455, 20.20225699999719, 26.358637600002112, 32.26884420000715, 38.812246999994386, 44.33865630000946, 45.271577900013654, 50.19674830001895, 58.09258789999876, 62.16438780000317, 62.99878080000053, 68.05073190000257, 70.05593750000116, 74.1820613000018, 76.96658410000964, 80.76369990000967, 86.27174630001537, 93.64694430000964, 100.26344310000422, 105.26004900000407, 110.2366297999979, 116.00452859999496, 116.9187563000014]"
D04,7,3.7730861,T4,"['right', 'right', 'right', 'right', 'right', 'right', 'space', 'right', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'right', 'left', 'left', 'right', 'right', 'right', 'right', 'left', 'right', 'left', 'left', 'left']","[2.002436699985992, 3.7532248999923468, 8.577388599980623, 9.531463899998926, 15.781488399981754, 20.051640599995153, 26.16667909998796, 32.08340329999919, 38.02933859999757, 38.576614199992036, 44.58215509998263, 50.34939079999458, 56.50189069999033, 62.025722999998834, 62.99008610000601, 68.3852183999843, 69.17206630000146, 75.99810329999309, 81.30598360000295, 87.27149379998446, 92.11083849999704, 93.88763459998881, 98.05724309998914, 98.89360650000162, 104.84017149999272, 110.82510399998864, 116.04328290000558, 116.47804799998994, 118.48057899999549]"
D04,7,1.7901786,T5,"['right', 'right', 'left', 'left', 'left', 'left', 'right', 'right', 'left', 'left', 'left', 'right', 'right', 'left', 'left', 'right', 'right', 'right', 'left', 'left', 'right', 'right', 'right', 'right', 'left', 'right', 'left', 'right']","[3.066817800019635, 9.283894799998961, 14.426291700016009, 19.90795690001687, 20.297992100007832, 26.49110529999598, 32.1140828000207, 32.79892760000075, 39.31536190002225, 45.25116610000259, 50.43005290001747, 55.83862630001386, 57.08095610002056, 61.18349940000917, 61.901447900017956, 68.18935970001621, 68.58379640002386, 70.36457910001627, 74.61149270000169, 74.98381790000712, 80.2283710000047, 81.18483800001559, 86.68140400000266, 92.31954789999872, 97.98706189999939, 104.51936070001102, 110.07961899999646, 116.35728680001921]"
D04,6,5.3721709,T6,"['right', 'right', 'right', 'left', 'left', 'right', 'right', 'left', 'left', 'right', 'right', 'space', 'right', 'right', 'left', 'right', 'right', 'right', 'right', 'left', 'left', 'right', 'right', 'right', 'left', 'right', 'right', 'right']","[8.326011299999664, 8.662795699987328, 9.880352000007406, 14.209186899999622, 14.714637199998833, 19.79573819998768, 20.903329299995676, 26.09841989999404, 26.782493599981535, 38.79119379998883, 39.64016029998311, 46.038818200002424, 50.24238029998378, 50.73887529998319, 56.255369199992856, 62.27577839998412, 67.53007989999605, 69.1640436000016, 75.9343169000058, 80.08042329997988, 80.73919989998103, 86.87066559999948, 87.30470769997919, 95.35690680000698, 99.2628723999951, 107.97559009998804, 116.25240139997914, 116.97816410000087]"
D04,7,2.8560156,T7,"['right', 'right', 'left', 'left', 'right', 'right', 'left', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'right', 'left', 'right', 'right', 'left', 'left', 'right', 'right', 'left', 'left', 'left', 'left']","[2.738862500002142, 3.4046357999905013, 8.436466199986171, 9.500017999991542, 14.30592980000074, 14.695388399995863, 20.23814790000324, 25.700647499994375, 27.41787679999834, 32.44429139999556, 32.86685629998101, 44.3914373999869, 44.942904800002, 56.23936629999662, 56.62871689998428, 62.230352099984884, 62.836115099984454, 66.87683199997991, 70.13048309998703, 74.02283059997717, 75.14807490000385, 80.12456659998861, 80.4472081999993, 86.62641789999907, 91.59546879999107, 92.22190059997956, 98.09438199998112, 98.45024689999991, 104.11991710000439, 104.52047259997926, 110.13399469997967, 110.51648859999841, 116.26986559998477, 116.98754410000402]"
D04,7,2.3351982,T8,"['right', 'right', 'left', 'left', 'right', 'right', 'right', 'right', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'right', 'right', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'right']","[2.607465900015086, 3.010045300005004, 8.799987600010354, 9.11698950000573, 14.061719100020127, 14.41041640000185, 20.111105100018904, 20.404040400026133, 25.58064880000893, 26.10228890000144, 31.94141710002441, 32.82134039999801, 41.12151320002158, 41.63019880000502, 44.23578570000245, 45.045792300021276, 49.22901820001425, 50.23904600000242, 51.577571700006956, 61.714198400004534, 62.15922359999968, 68.63277960001142, 69.06019119999837, 81.77501130002202, 82.1036670000176, 86.8163087000139, 87.15537310001673, 92.2074887000199, 92.56083470000885, 98.12229500000831, 98.43230780001613, 104.5269779000082, 104.91691359999822, 110.04063900001347, 110.37812340000528, 115.98717430001125, 116.30775460001314]"
D04,7,2.018245,T9,"['right', 'right', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'right', 'right', 'left', 'left', 'left', 'right', 'right', 'right', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'left', 'right', 'right', 'right', 'right', 'right']","[3.5444977000006475, 4.498749900027178, 8.007509000017308, 8.26946210002643, 13.147137100022519, 13.498023100022692, 14.199407400010386, 15.533636300009675, 19.95366660002037, 20.295894600014435, 26.296738200006075, 26.630220600025496, 28.036633800016716, 31.642953500006115, 32.621492800011765, 46.22282450000057, 46.97113350001746, 50.54578090002178, 51.647130400000606, 56.153061400022125, 56.39835820000735, 61.62877050001407, 66.74576150000212, 67.1602846000169, 68.13963420002256, 73.99230580002768, 74.26481680001598, 79.61073970000143, 80.19654319999972, 86.02527610000107, 86.34428470002604, 87.06750070000999, 92.41487330000382, 99.38723740002024, 99.64910590002546, 108.10482980002416, 114.9041393000225, 116.55000710001332]"
D04,7,1.5405734,T10,"['right', 'right', 'right', 'left', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'right', 'right', 'left', 'left', 'right', 'right', 'left', 'left', 'right', 'right', 'left', 'left', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']","[4.004261100024451, 8.560057599999709, 9.150384800013853, 14.187426700023934, 18.891666500014253, 20.82776090002153, 25.048935800004983, 26.01614230000996, 30.04878660000395, 30.78736280000885, 32.092137500003446, 34.93532520000008, 39.061903500027256, 39.46049950001179, 44.35083680000389, 44.86378000001423, 50.36392880001222, 50.71426540001994, 56.55122980001033, 56.921812200016575, 62.226387600007, 62.58151910000015, 68.2377819000103, 69.02963760000421, 75.25349770000321, 75.60929720001877, 80.85790210001869, 81.91278290000628, 89.84529800000018, 90.24363260000246, 92.10292380000465, 98.67312280001352, 99.28172620001715, 104.2247742000036, 104.96587760001421, 107.00401080001029, 109.17199280002387, 110.26735350000672, 116.01524710000376, 116.66224930001772]"
,,,,,
,7.2,,,,
