ID,Confidence,Confidence rt,Trial,Trial response,Trial rt
D12,7,2.5718817,T1,"['space', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'space', 'right', 'left', 'left', 'left', 'right', 'left', 'left', 'space', 'left', 'right', 'left']","[2.4578256999957375, 8.108872400014661, 14.091522800008534, 20.255095600005006, 26.337012100004358, 32.333081899996614, 38.08986060001189, 44.12006849999307, 49.917342800006736, 55.97975329999463, 62.16309220000403, 68.14525840000715, 74.17586000001756, 80.00710200000321, 86.04194540000753, 92.17035279999254, 98.6973103999917, 104.06927870001527, 109.99269549999735, 116.25516020000214]"
D12,8,2.8922583,T2,"['space', 'space', 'left', 'right', 'left', 'left', 'space', 'left', 'left', 'left', 'space', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'left', 'right']","[2.251816999982111, 8.512160999991465, 14.201410099980421, 20.112910099996952, 26.423185099993134, 32.095785899990005, 38.01989739999408, 44.12718969999696, 50.31937349998043, 56.215897499991115, 62.08576349998475, 68.08943189997808, 74.91236699998262, 80.71353389997967, 86.15206849999959, 92.00185729999794, 98.03167569998186, 104.00696769999922, 110.13055119998171, 116.06029959997977]"
D12,8,1.7802779,T3,"['space', 'right', 'left', 'left', 'right', 'left', 'left', 'right', 'right', 'left', 'right', 'left', 'space', 'right', 'space', 'left', 'right', 'right', 'left', 'left']","[2.4864077999955043, 8.205599400011124, 14.133994100004202, 20.04251630001818, 26.44329930000822, 32.278133300016634, 38.0120877000154, 44.05975680000847, 50.14095250001992, 55.98383830001694, 62.0811433000199, 68.11519430001499, 74.10526120002032, 80.14184640001622, 86.05588430000353, 92.11993529999745, 98.06023080000887, 104.16065000000526, 109.99708380000084, 115.99773390000337]"
D12,8,3.1829558,T4,"['space', 'right', 'right', 'right', 'space', 'right', 'left', 'space', 'right', 'right', 'right', 'left', 'right', 'right', 'left', 'left', 'space', 'right', 'left', 'right', 'left']","[2.9153860999795143, 8.147139599983348, 14.09752439998556, 20.083968399994774, 26.980157799989684, 32.05629479998606, 37.969427399977576, 44.00854729997809, 50.13319599998067, 55.99918959999923, 62.26840359999915, 68.0164567999891, 73.07434569997713, 74.39043749999837, 80.43387209999491, 86.2122274999856, 92.17647159998887, 98.04475789997377, 104.33326529999613, 110.1391592999862, 116.14310369998566]"
D12,9,3.0485379,T5,"['space', 'space', 'right', 'left', 'left', 'right', 'left', 'left', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'right', 'left', 'left', 'space', 'left', 'right']","[3.2297949999920093, 8.174993900000118, 14.167025700007798, 20.149359200004255, 26.85196920001181, 32.19606129999738, 38.338910199992824, 44.23613909998676, 50.48380180000095, 56.18219359999057, 62.195572299999185, 68.40822959999787, 74.11983730000793, 80.05229990000953, 86.2382088000013, 92.34351040000911, 98.16364270000486, 98.46617440000409, 104.06430120000732, 110.11172640000586, 116.05198930000188]"
D12,8,2.4779739,T6,"['space', 'right', 'left', 'right', 'left', 'left', 'right', 'left', 'left', 'left', 'space', 'right', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'right']","[2.770341700001154, 8.060586499981582, 14.21437010000227, 20.033882699994138, 26.09798939997563, 32.118341900000814, 38.02989730000263, 44.07921470000292, 50.01332449997426, 56.04009589998168, 62.030894600000465, 68.04258179999306, 74.6663133999973, 80.00053049999406, 86.05967170000076, 92.18257649999578, 98.13671399999293, 104.23901160000241, 110.10181599998032, 116.07615670000087]"
D12,8,1.5774809,T7,"['space', 'left', 'right', 'left', 'space', 'right', 'space', 'right', 'right', 'right', 'space', 'left', 'right', 'left', 'left', 'right', 'left', 'right', 'right', 'left']","[2.895714499987662, 8.488800099992659, 14.250307499984046, 20.284448199992767, 25.98708789999364, 32.354015599994455, 38.06752489999053, 44.04366470000241, 50.31558979998226, 56.20083419998991, 62.29446519998601, 68.40459399999236, 74.11015539997607, 80.30621660000179, 86.48663209998631, 92.05068829999072, 98.19968589997734, 104.21840109999175, 110.46692489998532, 116.37009339997894]"
D12,7,3.1294345,T8,"['left', 'left', 'right', 'right', 'left', 'right', 'right', 'left', 'left', 'right', 'left', 'right', 'space', 'left', 'space', 'right', 'left', 'left', 'right', 'right']","[3.6759984999953303, 8.23231880000094, 14.628346799989231, 20.282838099985383, 26.020371399994474, 32.22223380001378, 38.21066410001367, 44.040386899985606, 50.447390699991956, 56.052283400000306, 62.24178670000401, 68.072196299996, 74.0328417000128, 80.31703619999462, 86.35742750001373, 92.08216419999371, 98.17651039999328, 104.0445500999922, 110.02034149999963, 116.06265229999553]"
D12,9,3.1873047,T9,"['space', 'left', 'left', 'left', 'right', 'left', 'right', 'space', 'left', 'left', 'left', 'right', 'left', 'right', 'right', 'space', 'left', 'right', 'left', 'right']","[2.3741310999903362, 8.234511399990879, 14.13641710000229, 20.28433579998091, 26.017087099986384, 32.30368029998499, 38.182983300008345, 44.04612939999788, 50.711422699998366, 56.21846119998372, 62.22728950000601, 68.05683580000186, 74.4193549999909, 80.11730359998182, 86.50652729999274, 92.01627870000084, 98.07490710000275, 104.25797499998589, 110.20564639999066, 116.12115669998457]"
D12,8,5.0477809,T10,"['space', 'space', 'left', 'right', 'right', 'left', 'right', 'right', 'right', 'left', 'right', 'left', 'right', 'space', 'left', 'left', 'right', 'space', 'left', 'right']","[2.7142488000099547, 8.22548850000021, 14.10741140000755, 19.997204500017688, 25.99282949999906, 32.207823900011135, 38.10449379999773, 44.082425100001274, 50.38982490001945, 56.26924560000771, 62.205221500014886, 68.16556690001744, 74.22099140001228, 80.09936779999407, 86.08267200001865, 92.12395530001959, 98.25804240000434, 104.06567310000537, 112.00172190001467, 116.11646560000372]"
,,,,,
,8,,,,
